COUNTRY_ID,CONTINENT_ID,COUNTRY_NAME,COUNTRY_NAME_URDU,COUNTRY_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE
1,,Pakistan,,,07:21.9,,seed:pakistan_locations.json,,,1,,[NULL]
PROVINCE_ID,COUNTRY_ID,PROVINCE_NAME,PROVINCE_NAME_URDU,PROVINCE_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,province_latitude,province_longitude
1,1,AZAD KASHMIR,,,,,seed:pakistan_locations.json,,,1,,[NULL],74.06785318,33.12219631
2,1,BALOCHISTAN,,,,,seed:pakistan_locations.json,,,1,,[NULL],66.99673007,25.20470746
3,1,DISPUTED TERRITORY,,,,,seed:pakistan_locations.json,,,1,,[NULL],76.58410271,33.75878235
4,1,FATA,,,,,seed:pakistan_locations.json,,,1,,[NULL],70.02714204,33.11455655
5,1,FEDERAL CAPITAL TERRITORY,,,,,seed:pakistan_locations.json,,,1,,[NULL],73.12121495,33.66508855
6,1,GILGIT BALTISTAN,,,,,seed:pakistan_locations.json,,,1,,[NULL],73.86896908,36.08676924
7,1,KHYBER PAKHTUNKHWA,,,,,seed:pakistan_locations.json,,,1,,[NULL],71.55086149,34.0986379
8,1,PUNJAB,,,,,seed:pakistan_locations.json,,,1,,[NULL],74.69660476,32.30263719
9,1,SINDH,,,,,seed:pakistan_locations.json,,,1,,[NULL],69.36732534,25.49709738
DIVISION_ID,PROVINCE_ID,DIVISION_NAME,DIVISION_NAME_URDU,DIVISION_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,division_latitude,division_longitude
1,1,Muzaffarabad Division,,,,,,,,1,,,,
2,1,Poonch Division,,,,,,,,1,,,,
3,1,Mirpur Division,,,,,,,,1,,,,
4,2,Quetta Division,,,,,,,,1,,,,
5,2,Pishin Division,,,,,,,,1,,,,
6,2,Khuzdar Division,,,,,,,,1,,,,
7,2,Lasbela Division,,,,,,,,1,,,,
8,2,Makran Division,,,,,,,,1,,,,
9,2,Naseerabad Division,,,,,,,,1,,,,
10,2,Sibi Division,,,,,,,,1,,,,
11,2,Rakhshan Division,,,,,,,,1,,,,
12,2,Zhob Division,,,,,,,,1,,,,
13,2,Loralai Division,,,,,,,,1,,,,
14,2,Koh-e-Sulaiman Division,,,,,,,,1,,,,
15,3,DISPUTED TERRITORY,,,,,,,,1,,,,
16,4,FATA,,,,,,,,1,,,,
17,5,FEDERAL CAPITAL TERRITORY,,,,,,,,1,,,,
18,6,Gilgit Division,,,,,,,,1,,,,
19,6,Baltistan Division,,,,,,,,1,,,,
20,6,Diamer Division,,,,,,,,1,,,,
21,7,Peshawar Division,,,,,,,,1,,,,
22,7,Mardan Division,,,,,,,,1,,,,
23,7,Hazara Division,,,,,,,,1,,,,
24,7,Malakand Division,,,,,,,,1,,,,
25,7,Kohat Division,,,,,,,,1,,,,
26,7,Bannu Division,,,,,,,,1,,,,
27,7,Dera Ismail Khan Division,,,,,,,,1,,,,
28,8,Lahore Division,,,,,,,,1,,,,
29,8,Gujrat Division,,,,,,,,1,,,,
30,8,Gujranwala Division,,,,,,,,1,,,,
31,8,Faisalabad Division,,,,,,,,1,,,,
32,8,Rawalpindi Division,,,,,,,,1,,,,
33,8,Sargodha Division,,,,,,,,1,,,,
34,8,Sahiwal Division,,,,,,,,1,,,,
35,8,Multan Division,,,,,,,,1,,,,
36,8,Bahawalpur Division,,,,,,,,1,,,,
37,8,Dera Ghazi Khan Division,,,,,,,,1,,,,
38,9,Hyderabad Division,,,,,,,,1,,,,
39,9,Karachi Division,,,,,,,,1,,,,
40,9,Larkana Division,,,,,,,,1,,,,
41,9,Sukkur Division,,,,,,,,1,,,,
42,9,Mirpur Khas Division,,,,,,,,1,,,,
43,9,Shaheed Benazirabad Division,,,,,,,,1,,,,
DISTRICT_ID,DIVISION_ID,DISTRICT_NAME,DISTRICT_NAME_URDU,DISTRICT_PHONE_AREA_CODE,DISTRICT_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,district_latitude,district_longitude
1,2,BAGH,,,,,,,,,1,,[NULL],73.81699214,33.9789146
2,1,BHIMBER,,,,,,,,,1,,[NULL],74.06785318,33.12219631
3,1,HATTIAN,,,,,,,,,1,,[NULL],73.83354511,34.19375766
4,2,HAVELI,,,,,,,,,1,,[NULL],74.11921924,33.93592419
5,3,KOTLI,,,,,,,,,1,,[NULL],74.11691171,33.48305076
6,3,MIRPUR,,,,,,,,,1,,[NULL],73.67105936,33.35506186
7,1,MUZAFFARABAD,,,,,,,,,1,,[NULL],70.87550856,29.62388812
8,1,NEELUM,,,,,,,,,1,,[NULL],74.17583133,34.79109334
9,2,POONCH,,,,,,,,,1,,[NULL],73.97931668,33.8457259
10,2,SUDHNOTI,,,,,,,,,1,,[NULL],73.74638178,33.70248444
11,7,AWARAN,,,,,,,,,1,,[NULL],64.91038187,26.1394285
12,14,BARKHAN,,,,,,,,,1,,[NULL],69.61770653,29.95412819
13,11,CHAGAI,,,,,,,,,1,,[NULL],64.15036578,28.95148644
14,10,DERA BUGTI,,,,,,,,,1,,[NULL],69.41511073,28.90125645
15,8,GWADAR,,,,,,,,,1,,[NULL],63.2760642,25.41361838
16,10,HARNAI,,,,,,,,,1,,[NULL],67.58978019,30.18360756
17,9,JAFFARABAD,,,,,,,,,1,,[NULL],68.65036596,28.50413078
18,9,JHAL MAGSI,,,,,,,,,1,,[NULL],67.50529652,28.22435576
19,10,KACHHI(BOLAN),,,,,,,,,1,,[NULL],67.60053257,29.4546577
20,6,KALAT,,,,,,,,,1,,[NULL],66.49180732,28.97543147
21,8,KECH,,,,,,,,,1,,[NULL],64.19703823,25.98812928
22,11,KHARAN,,,,,,,,,1,,[NULL],65.46624469,28.61316117
23,6,KHUZDAR,,,,,,,,,1,,[NULL],66.1682033,26.85260051
24,5,KILLA ABDULLAH,,,,,,,,,1,,[NULL],66.72269242,30.76450725
25,12,KILLA SAIFULLAH,,,,,,,,,1,,[NULL],68.90679332,31.02208067
26,14,KOHLU,,,,,,,,,1,,[NULL],68.85431759,29.41862194
27,7,LASBELA,,,,,,,,,1,,[NULL],66.99673007,25.20470746
28,13,LEHRI,,,,,,,,,1,,[NULL],68.13290678,29.09249084
29,13,LORALAI,,,,,,,,,1,,[NULL],68.5389282,30.45761833
30,4,MASTUNG,,,,,,,,,1,,[NULL],66.39384196,29.61936796
31,13,MUSA KHEL,,,,,,,,,1,,[NULL],69.97942766,31.04626546
32,9,NASIRABAD,,,,,,,,,1,,[NULL],68.15687701,28.59522387
33,11,NUSHKI,,,,,,,,,1,,[NULL],65.90248309,29.40354138
34,8,PANJGUR,,,,,,,,,1,,[NULL],64.07880302,26.39225558
35,5,PISHIN,,,,,,,,,1,,[NULL],67.27586057,30.5996286
36,4,QUETTA,,,,,,,,,1,,[NULL],66.96322799,30.15227506
37,12,SHEERANI,,,,,,,,,1,,[NULL],69.77419094,31.6430694
38,10,SIBI,,,,,,,,,1,,[NULL],67.60546888,29.93285144
39,11,WASHUK,,,,,,,,,1,,[NULL],64.51398993,27.75799646
40,12,ZHOB,,,,,,,,,1,,[NULL],68.23332195,31.49573727
41,13,ZIARAT,,,,,,,,,1,,[NULL],67.50159896,30.4352961
42,15,DISPUTED TERRITORY,,,,,,,,,1,,[NULL],76.58410271,33.75878235
43,16,BAJAUR AGENCY,,,,,,,,,1,,[NULL],71.20295557,34.72875323
44,16,FR BANNU,,,,,,,,,1,,[NULL],70.58110424,33.07903332
45,16,FR D.I.KHAN,,,,,,,,,1,,[NULL],70.15161791,31.57659129
46,16,FR KOHAT,,,,,,,,,1,,[NULL],71.59787731,33.65443545
47,16,FR LAKKI MARWAT,,,,,,,,,1,,[NULL],70.38014756,32.63821917
48,16,FR PESHAWAR,,,,,,,,,1,,[NULL],71.72159238,33.73471653
49,16,FR TANK,,,,,,,,,1,,[NULL],70.27787522,32.45400728
